FittedPDBs,stoich,threshold,total number output,TP,FP,FN,precision,recall
3c9v,A14,1.05,40,1,39,0,0.025,1
3c9v,A14,1.1,41,1,40,0,0.024,1
3c9v,A14,1.15,42,1,41,0,0.024,1
3c9v,A14,1.2,43,1,42,0,0.023,1
3c9v,A14,1.25,44,1,43,0,0.023,1
3c9v,A14,1.3,45,1,44,0,0.022,1
3c9v,A14,1.35,46,1,45,0,0.022,1
3c9v,A14,1.4,47,1,46,0,0.021,1
3c9v,A14,1.45,48,1,47,0,0.021,1
3c9v,A14,1.5,49,1,48,0,0.020,1
3c9v,A14,1.55,50,1,49,0,0.020,1
3c9v,A14,1.6,51,1,50,0,0.020,1
3c9v,A14,1.65,52,1,51,0,0.019,1
3c9v,A14,1.7,53,1,52,0,0.019,1
3c9v,A14,1.75,54,1,53,0,0.019,1
3c9v,A14,1.8,55,1,54,0,0.018,1
3c9v,A14,1.85,56,1,55,0,0.018,1
3c9v,A14,1.9,57,1,56,0,0.018,1
3c9v,A14,1.95,58,1,57,0,0.017,1
3g37,A12,0.05,1,0,1,1,0.000,0
3g37,A12,0.1,2,0,2,1,0.000,0
3g37,A12,0.15,4,1,3,0,0.250,1
3g37,A12,0.2,4,1,3,0,0.250,1
3g37,A12,0.25,6,1,5,0,0.167,1
3g37,A12,0.3,6,1,5,0,0.167,1
3g37,A12,0.35,8,1,7,0,0.125,1
3g37,A12,0.4,8,1,7,0,0.125,1
3g37,A12,0.45,10,1,9,0,0.100,1
3g37,A12,0.5,10,1,9,0,0.100,1
3g37,A12,0.55,12,1,11,0,0.083,1
3g37,A12,0.6,12,1,11,0,0.083,1
3g37,A12,0.65,14,1,13,0,0.071,1
3g37,A12,0.7,14,1,13,0,0.071,1
3g37,A12,0.75,16,1,15,0,0.063,1
3g37,A12,0.8,16,1,15,0,0.063,1
3g37,A12,0.85,18,1,17,0,0.056,1
3g37,A12,0.9,18,1,17,0,0.056,1
3g37,A12,0.95,20,1,19,0,0.050,1
3g37,A12,1,20,1,19,0,0.050,1
3g37,A12,1.05,21,1,20,0,0.048,1
3g37,A12,1.1,21,1,20,0,0.048,1
3g37,A12,1.15,22,1,21,0,0.045,1
3g37,A12,1.2,23,1,22,0,0.043,1
3g37,A12,1.25,23,1,22,0,0.043,1
3g37,A12,1.3,24,1,23,0,0.042,1
3g37,A12,1.35,24,1,23,0,0.042,1
3g37,A12,1.4,25,1,24,0,0.040,1
3g37,A12,1.45,25,1,24,0,0.040,1
3g37,A12,1.5,26,1,25,0,0.038,1
3g37,A12,1.55,26,1,25,0,0.038,1
3g37,A12,1.6,27,1,26,0,0.037,1
3g37,A12,1.65,27,1,26,0,0.037,1
3g37,A12,1.7,28,1,27,0,0.036,1
3g37,A12,1.75,28,1,27,0,0.036,1
3g37,A12,1.8,29,1,28,0,0.034,1
3g37,A12,1.85,29,1,28,0,0.034,1
3g37,A12,1.9,30,1,29,0,0.033,1
3g37,A12,1.95,30,1,29,0,0.033,1
3izi,A16,0.05,2,1,1,0,0.500,1
3izi,A16,0.1,3,1,2,0,0.333,1
3izi,A16,0.15,4,1,3,0,0.250,1
3izi,A16,0.2,6,1,5,0,0.167,1
3izi,A16,0.25,8,1,7,0,0.125,1
3izi,A16,0.3,10,1,9,0,0.100,1
3izi,A16,0.35,10,1,9,0,0.100,1
3izi,A16,0.4,12,1,11,0,0.083,1
3izi,A16,0.45,14,1,13,0,0.071,1
3izi,A16,0.5,16,1,15,0,0.063,1
3izi,A16,0.55,17,1,16,0,0.059,1
3izi,A16,0.6,18,1,17,0,0.056,1
3izi,A16,0.65,20,1,19,0,0.050,1
3izi,A16,0.7,22,1,21,0,0.045,1
3izi,A16,0.75,24,1,23,0,0.042,1
3izi,A16,0.8,24,1,23,0,0.042,1
3izi,A16,0.85,26,1,25,0,0.038,1
3izi,A16,0.9,28,1,27,0,0.036,1
3izi,A16,0.95,30,1,29,0,0.033,1
3izi,A16,1,30,1,29,0,0.033,1
3izi,A16,1.05,31,1,30,0,0.032,1
3izi,A16,1.1,32,1,31,0,0.031,1
3izi,A16,1.15,33,1,32,0,0.030,1
3izi,A16,1.2,33,1,32,0,0.030,1
3izi,A16,1.25,34,1,33,0,0.029,1
3izi,A16,1.3,35,1,34,0,0.029,1
3izi,A16,1.35,36,1,35,0,0.028,1
3izi,A16,1.4,37,1,36,0,0.027,1
3izi,A16,1.45,37,1,36,0,0.027,1
3izi,A16,1.5,38,1,37,0,0.026,1
3izi,A16,1.55,39,1,38,0,0.026,1
3izi,A16,1.6,40,1,39,0,0.025,1
3izi,A16,1.65,40,1,39,0,0.025,1
3izi,A16,1.7,41,1,40,0,0.024,1
3izi,A16,1.75,42,1,41,0,0.024,1
3izi,A16,1.8,43,1,42,0,0.023,1
3izi,A16,1.85,44,1,43,0,0.023,1
3izi,A16,1.9,44,1,43,0,0.023,1
3izi,A16,1.95,45,1,44,0,0.022,1
3j95,A6,0.05,1,1,0,0,1.000,1
3j95,A6,0.1,1,1,0,0,1.000,1
3j95,A6,0.15,2,1,1,0,0.500,1
3j95,A6,0.2,3,1,2,0,0.333,1
3j95,A6,0.25,3,1,2,0,0.333,1
3j95,A6,0.3,3,1,2,0,0.333,1
3j95,A6,0.35,4,1,3,0,0.250,1
3j95,A6,0.4,5,1,4,0,0.200,1
3j95,A6,0.45,5,1,4,0,0.200,1
3j95,A6,0.5,6,1,5,0,0.167,1
3j95,A6,0.55,7,1,6,0,0.143,1
3j95,A6,0.6,7,1,6,0,0.143,1
3j95,A6,0.65,7,1,6,0,0.143,1
3j95,A6,0.7,8,1,7,0,0.125,1
3j95,A6,0.75,9,1,8,0,0.111,1
3j95,A6,0.8,9,1,8,0,0.111,1
3j95,A6,0.85,10,1,9,0,0.100,1
3j95,A6,0.9,11,1,10,0,0.091,1
3j95,A6,0.95,11,1,10,0,0.091,1
3j95,A6,1,11,1,10,0,0.091,1
3j95,A6,1.05,12,1,11,0,0.083,1
3j95,A6,1.1,12,1,11,0,0.083,1
3j95,A6,1.15,12,1,11,0,0.083,1
3j95,A6,1.2,12,1,11,0,0.083,1
3j95,A6,1.25,13,1,12,0,0.077,1
3j95,A6,1.3,13,1,12,0,0.077,1
3j95,A6,1.35,13,1,12,0,0.077,1
3j95,A6,1.4,14,1,13,0,0.071,1
3j95,A6,1.45,14,1,13,0,0.071,1
3j95,A6,1.5,14,1,13,0,0.071,1
3j95,A6,1.55,14,1,13,0,0.071,1
3j95,A6,1.6,15,1,14,0,0.067,1
3j95,A6,1.65,15,1,14,0,0.067,1
3j95,A6,1.7,15,1,14,0,0.067,1
3j95,A6,1.75,16,1,15,0,0.063,1
3j95,A6,1.8,16,1,15,0,0.063,1
3j95,A6,1.85,16,1,15,0,0.063,1
3j95,A6,1.9,17,1,16,0,0.059,1
3j95,A6,1.95,17,1,16,0,0.059,1
3los,A16,0.05,2,0,2,1,0.000,0
3los,A16,0.1,4,1,3,0,0.250,1
3los,A16,0.15,5,1,4,0,0.200,1
3los,A16,0.2,7,1,6,0,0.143,1
3los,A16,0.25,8,1,7,0,0.125,1
3los,A16,0.3,10,1,9,0,0.100,1
3los,A16,0.35,12,1,11,0,0.083,1
3los,A16,0.4,14,1,13,0,0.071,1
3los,A16,0.45,16,1,15,0,0.063,1
3los,A16,0.5,18,1,17,0,0.056,1
3los,A16,0.55,19,1,18,0,0.053,1
3los,A16,0.6,21,1,20,0,0.048,1
3los,A16,0.65,22,1,21,0,0.045,1
3los,A16,0.7,24,1,23,0,0.042,1
3los,A16,0.75,26,1,25,0,0.038,1
3los,A16,0.8,28,1,27,0,0.036,1
3los,A16,0.85,30,1,29,0,0.033,1
3los,A16,0.9,31,1,30,0,0.032,1
3los,A16,0.95,33,1,32,0,0.030,1
3los,A16,1,34,1,33,0,0.029,1
3los,A16,1.05,35,1,34,0,0.029,1
3los,A16,1.1,36,1,35,0,0.028,1
3los,A16,1.15,37,1,36,0,0.027,1
3los,A16,1.2,38,1,37,0,0.026,1
3los,A16,1.25,39,1,38,0,0.026,1
3los,A16,1.3,39,1,38,0,0.026,1
3los,A16,1.35,40,1,39,0,0.025,1
3los,A16,1.4,41,1,40,0,0.024,1
3los,A16,1.45,42,1,41,0,0.024,1
3los,A16,1.5,43,1,42,0,0.023,1
3los,A16,1.55,44,1,43,0,0.023,1
3los,A16,1.6,45,1,44,0,0.022,1
3los,A16,1.65,45,1,44,0,0.022,1
3los,A16,1.7,46,1,45,0,0.022,1
3los,A16,1.75,47,1,46,0,0.021,1
3los,A16,1.8,48,1,47,0,0.021,1
3los,A16,1.85,49,1,48,0,0.020,1
3los,A16,1.9,50,1,49,0,0.020,1
3los,A16,1.95,51,1,50,0,0.020,1
4aaq,A14,0.05,2,0,2,1,0.000,0
4aaq,A14,0.1,3,0,3,1,0.000,0
4aaq,A14,0.15,4,1,3,0,0.250,1
4aaq,A14,0.2,6,1,5,0,0.167,1
4aaq,A14,0.25,8,1,7,0,0.125,1
4aaq,A14,0.3,10,1,9,0,0.100,1
4aaq,A14,0.35,11,1,10,0,0.091,1
4aaq,A14,0.4,12,1,11,0,0.083,1
4aaq,A14,0.45,14,1,13,0,0.071,1
4aaq,A14,0.5,16,1,15,0,0.063,1
4aaq,A14,0.55,17,1,16,0,0.059,1
4aaq,A14,0.6,18,1,17,0,0.056,1
4aaq,A14,0.65,20,1,19,0,0.050,1
4aaq,A14,0.7,22,1,21,0,0.045,1
4aaq,A14,0.75,24,1,23,0,0.042,1
4aaq,A14,0.8,25,1,24,0,0.040,1
4aaq,A14,0.85,26,1,25,0,0.038,1
4aaq,A14,0.9,28,1,27,0,0.036,1
4aaq,A14,0.95,30,1,29,0,0.033,1
4aaq,A14,1,31,1,30,0,0.032,1
4aaq,A14,1.05,31,1,30,0,0.032,1
4aaq,A14,1.1,32,1,31,0,0.031,1
4aaq,A14,1.15,33,1,32,0,0.030,1
4aaq,A14,1.2,34,1,33,0,0.029,1
4aaq,A14,1.25,35,1,34,0,0.029,1
4aaq,A14,1.3,35,1,34,0,0.029,1
4aaq,A14,1.35,36,1,35,0,0.028,1
4aaq,A14,1.4,37,1,36,0,0.027,1
4aaq,A14,1.45,38,1,37,0,0.026,1
4aaq,A14,1.5,39,1,38,0,0.026,1
4aaq,A14,1.55,39,1,38,0,0.026,1
4aaq,A14,1.6,40,1,39,0,0.025,1
4aaq,A14,1.65,41,1,40,0,0.024,1
4aaq,A14,1.7,42,1,41,0,0.024,1
4aaq,A14,1.75,42,1,41,0,0.024,1
4aaq,A14,1.8,43,1,42,0,0.023,1
4aaq,A14,1.85,44,1,43,0,0.023,1
4aaq,A14,1.9,45,1,44,0,0.022,1
4aaq,A14,1.95,46,1,45,0,0.022,1
5g4f,A6,0.05,0,0,0,1,#DIV/0!,0
5g4f,A6,0.1,1,0,1,1,0.000,0
5g4f,A6,0.15,2,1,1,0,0.500,1
5g4f,A6,0.2,2,1,1,0,0.500,1
5g4f,A6,0.25,3,1,2,0,0.333,1
5g4f,A6,0.3,3,1,2,0,0.333,1
5g4f,A6,0.35,4,1,3,0,0.250,1
5g4f,A6,0.4,4,1,3,0,0.250,1
5g4f,A6,0.45,5,1,4,0,0.200,1
5g4f,A6,0.5,5,1,4,0,0.200,1
5g4f,A6,0.55,6,1,5,0,0.167,1
5g4f,A6,0.6,6,1,5,0,0.167,1
5g4f,A6,0.65,7,1,6,0,0.143,1
5g4f,A6,0.7,7,1,6,0,0.143,1
5g4f,A6,0.75,8,1,7,0,0.125,1
5g4f,A6,0.8,8,1,7,0,0.125,1
5g4f,A6,0.85,9,1,8,0,0.111,1
5g4f,A6,0.9,10,1,9,0,0.100,1
5g4f,A6,0.95,10,1,9,0,0.100,1
5g4f,A6,1,10,1,9,0,0.100,1
5g4f,A6,1.05,10,1,9,0,0.100,1
5g4f,A6,1.1,11,1,10,0,0.091,1
5g4f,A6,1.15,11,1,10,0,0.091,1
5g4f,A6,1.2,11,1,10,0,0.091,1
5g4f,A6,1.25,11,1,10,0,0.091,1
5g4f,A6,1.3,12,1,11,0,0.083,1
5g4f,A6,1.35,12,1,11,0,0.083,1
5g4f,A6,1.4,12,1,11,0,0.083,1
5g4f,A6,1.45,12,1,11,0,0.083,1
5g4f,A6,1.5,13,1,12,0,0.077,1
5g4f,A6,1.55,13,1,12,0,0.077,1
5g4f,A6,1.6,13,1,12,0,0.077,1
5g4f,A6,1.65,14,1,13,0,0.071,1
5g4f,A6,1.7,14,1,13,0,0.071,1
5g4f,A6,1.75,14,1,13,0,0.071,1
5g4f,A6,1.8,14,1,13,0,0.071,1
5g4f,A6,1.85,15,1,14,0,0.067,1
5g4f,A6,1.9,15,1,14,0,0.067,1
5g4f,A6,1.95,15,1,14,0,0.067,1
5uvn,A6,0.05,0,0,0,1,#DIV/0!,0
5uvn,A6,0.1,2,1,1,0,0.500,1
5uvn,A6,0.15,2,1,1,0,0.500,1
5uvn,A6,0.2,2,1,1,0,0.500,1
5uvn,A6,0.25,4,1,3,0,0.250,1
5uvn,A6,0.3,4,1,3,0,0.250,1
5uvn,A6,0.35,4,1,3,0,0.250,1
5uvn,A6,0.4,5,1,4,0,0.200,1
5uvn,A6,0.45,6,1,5,0,0.167,1
5uvn,A6,0.5,6,1,5,0,0.167,1
5uvn,A6,0.55,7,1,6,0,0.143,1
5uvn,A6,0.6,8,1,7,0,0.125,1
5uvn,A6,0.65,8,1,7,0,0.125,1
5uvn,A6,0.7,9,1,8,0,0.111,1
5uvn,A6,0.75,10,1,9,0,0.100,1
5uvn,A6,0.8,10,1,9,0,0.100,1
5uvn,A6,0.85,11,1,10,0,0.091,1
5uvn,A6,0.9,12,1,11,0,0.083,1
5uvn,A6,0.95,12,1,11,0,0.083,1
5uvn,A6,1,12,1,11,0,0.083,1
5uvn,A6,1.05,13,1,12,0,0.077,1
5uvn,A6,1.1,13,1,12,0,0.077,1
5uvn,A6,1.15,13,1,12,0,0.077,1
5uvn,A6,1.2,14,1,13,0,0.071,1
5uvn,A6,1.25,14,1,13,0,0.071,1
5uvn,A6,1.3,14,1,13,0,0.071,1
5uvn,A6,1.35,15,1,14,0,0.067,1
5uvn,A6,1.4,15,1,14,0,0.067,1
5uvn,A6,1.45,15,1,14,0,0.067,1
5uvn,A6,1.5,16,1,15,0,0.063,1
5uvn,A6,1.55,16,1,15,0,0.063,1
5uvn,A6,1.6,16,1,15,0,0.063,1
5uvn,A6,1.65,17,1,16,0,0.059,1
5uvn,A6,1.7,17,1,16,0,0.059,1
5uvn,A6,1.75,17,1,16,0,0.059,1
5uvn,A6,1.8,17,1,16,0,0.059,1
5uvn,A6,1.85,18,1,17,0,0.056,1
5uvn,A6,1.9,18,1,17,0,0.056,1
5uvn,A6,1.95,18,1,17,0,0.056,1
5vc7,A6,0.05,0,0,0,1,#DIV/0!,0
5vc7,A6,0.1,2,1,1,0,0.500,1
5vc7,A6,0.15,2,1,1,0,0.500,1
5vc7,A6,0.2,2,1,1,0,0.500,1
5vc7,A6,0.25,3,1,2,0,0.333,1
5vc7,A6,0.3,4,1,3,0,0.250,1
5vc7,A6,0.35,4,1,3,0,0.250,1
5vc7,A6,0.4,5,1,4,0,0.200,1
5vc7,A6,0.45,6,1,5,0,0.167,1
5vc7,A6,0.5,6,1,5,0,0.167,1
5vc7,A6,0.55,7,1,6,0,0.143,1
5vc7,A6,0.6,8,1,7,0,0.125,1
5vc7,A6,0.65,8,1,7,0,0.125,1
5vc7,A6,0.7,9,1,8,0,0.111,1
5vc7,A6,0.75,10,1,9,0,0.100,1
5vc7,A6,0.8,10,1,9,0,0.100,1
5vc7,A6,0.85,11,1,10,0,0.091,1
5vc7,A6,0.9,12,1,11,0,0.083,1
5vc7,A6,0.95,12,1,11,0,0.083,1
5vc7,A6,1,12,1,11,0,0.083,1
5vc7,A6,1.05,13,1,12,0,0.077,1
5vc7,A6,1.1,13,1,12,0,0.077,1
5vc7,A6,1.15,13,1,12,0,0.077,1
5vc7,A6,1.2,14,1,13,0,0.071,1
5vc7,A6,1.25,14,1,13,0,0.071,1
5vc7,A6,1.3,14,1,13,0,0.071,1
5vc7,A6,1.35,14,1,13,0,0.071,1
5vc7,A6,1.4,15,1,14,0,0.067,1
5vc7,A6,1.45,15,1,14,0,0.067,1
5vc7,A6,1.5,15,1,14,0,0.067,1
5vc7,A6,1.55,16,1,15,0,0.063,1
5vc7,A6,1.6,16,1,15,0,0.063,1
5vc7,A6,1.65,16,1,15,0,0.063,1
5vc7,A6,1.7,17,1,16,0,0.059,1
5vc7,A6,1.75,17,1,16,0,0.059,1
5vc7,A6,1.8,17,1,16,0,0.059,1
5vc7,A6,1.85,18,1,17,0,0.056,1
5vc7,A6,1.9,18,1,17,0,0.056,1
5vc7,A6,1.95,18,1,17,0,0.056,1
5yi5,A24,0.05,2,0,2,1,0.000,0
5yi5,A24,0.1,6,0,6,1,0.000,0
5yi5,A24,0.15,8,1,7,0,0.125,1
5yi5,A24,0.2,11,1,10,0,0.091,1
5yi5,A24,0.25,14,1,13,0,0.071,1
5yi5,A24,0.3,16,1,15,0,0.063,1
5yi5,A24,0.35,20,1,19,0,0.050,1
5yi5,A24,0.4,22,1,21,0,0.045,1
5yi5,A24,0.45,24,1,23,0,0.042,1
5yi5,A24,0.5,28,1,27,0,0.036,1
5yi5,A24,0.55,30,1,29,0,0.033,1
5yi5,A24,0.6,33,1,32,0,0.030,1
5yi5,A24,0.65,36,1,35,0,0.028,1
5yi5,A24,0.7,38,1,37,0,0.026,1
5yi5,A24,0.75,42,1,41,0,0.024,1
5yi5,A24,0.8,44,1,43,0,0.023,1
5yi5,A24,0.85,46,1,45,0,0.022,1
5yi5,A24,0.9,50,1,49,0,0.020,1
5yi5,A24,0.95,52,1,51,0,0.019,1
5yi5,A24,1,54,1,53,0,0.019,1
5yi5,A24,1.05,56,1,55,0,0.018,1
5yi5,A24,1.1,57,1,56,0,0.018,1
5yi5,A24,1.15,58,1,57,0,0.017,1
5yi5,A24,1.2,60,1,59,0,0.017,1
5yi5,A24,1.25,61,1,60,0,0.016,1
5yi5,A24,1.3,63,1,62,0,0.016,1
5yi5,A24,1.35,64,1,63,0,0.016,1
5yi5,A24,1.4,65,1,64,0,0.015,1
5yi5,A24,1.45,67,1,66,0,0.015,1
5yi5,A24,1.5,68,1,67,0,0.015,1
5yi5,A24,1.55,69,1,68,0,0.014,1
5yi5,A24,1.6,71,1,70,0,0.014,1
5yi5,A24,1.65,72,1,71,0,0.014,1
5yi5,A24,1.7,74,1,73,0,0.014,1
5yi5,A24,1.75,75,1,74,0,0.013,1
5yi5,A24,1.8,76,1,75,0,0.013,1
5yi5,A24,1.85,78,1,77,0,0.013,1
5yi5,A24,1.9,79,1,78,0,0.013,1
5yi5,A24,1.95,80,1,79,0,0.013,1
6bbj,A4,0.05,0,0,0,1,#DIV/0!,0
6bbj,A4,0.1,1,1,0,0,1.000,1
6bbj,A4,0.15,1,1,0,0,1.000,1
6bbj,A4,0.2,1,1,0,0,1.000,1
6bbj,A4,0.25,2,1,1,0,0.500,1
6bbj,A4,0.3,2,1,1,0,0.500,1
6bbj,A4,0.35,3,1,2,0,0.333,1
6bbj,A4,0.4,3,1,2,0,0.333,1
6bbj,A4,0.45,3,1,2,0,0.333,1
6bbj,A4,0.5,4,1,3,0,0.250,1
6bbj,A4,0.55,4,1,3,0,0.250,1
6bbj,A4,0.6,5,1,4,0,0.200,1
6bbj,A4,0.65,5,1,4,0,0.200,1
6bbj,A4,0.7,5,1,4,0,0.200,1
6bbj,A4,0.75,6,1,5,0,0.167,1
6bbj,A4,0.8,6,1,5,0,0.167,1
6bbj,A4,0.85,6,1,5,0,0.167,1
6bbj,A4,0.9,7,1,6,0,0.143,1
6bbj,A4,0.95,7,1,6,0,0.143,1
6bbj,A4,1,7,1,6,0,0.143,1
6bbj,A4,1.05,7,1,6,0,0.143,1
6bbj,A4,1.1,7,1,6,0,0.143,1
6bbj,A4,1.15,8,1,7,0,0.125,1
6bbj,A4,1.2,8,1,7,0,0.125,1
6bbj,A4,1.25,8,1,7,0,0.125,1
6bbj,A4,1.3,8,1,7,0,0.125,1
6bbj,A4,1.35,8,1,7,0,0.125,1
6bbj,A4,1.4,9,1,8,0,0.111,1
6bbj,A4,1.45,9,1,8,0,0.111,1
6bbj,A4,1.5,9,1,8,0,0.111,1
6bbj,A4,1.55,9,1,8,0,0.111,1
6bbj,A4,1.6,9,1,8,0,0.111,1
6bbj,A4,1.65,9,1,8,0,0.111,1
6bbj,A4,1.7,10,1,9,0,0.100,1
6bbj,A4,1.75,10,1,9,0,0.100,1
6bbj,A4,1.8,10,1,9,0,0.100,1
6bbj,A4,1.85,10,1,9,0,0.100,1
6bbj,A4,1.9,10,1,9,0,0.100,1
6bbj,A4,1.95,11,1,10,0,0.091,1
6g1k,A4,0.05,0,0,0,1,#DIV/0!,0
6g1k,A4,0.1,1,0,1,1,0.000,0
6g1k,A4,0.15,2,0,2,1,0.000,0
6g1k,A4,0.2,2,0,2,1,0.000,0
6g1k,A4,0.25,3,1,2,0,0.333,1
6g1k,A4,0.3,3,1,2,0,0.333,1
6g1k,A4,0.35,4,1,3,0,0.250,1
6g1k,A4,0.4,4,1,3,0,0.250,1
6g1k,A4,0.45,5,1,4,0,0.200,1
6g1k,A4,0.5,5,1,4,0,0.200,1
6g1k,A4,0.55,6,1,5,0,0.167,1
6g1k,A4,0.6,6,1,5,0,0.167,1
6g1k,A4,0.65,7,1,6,0,0.143,1
6g1k,A4,0.7,7,1,6,0,0.143,1
6g1k,A4,0.75,8,1,7,0,0.125,1
6g1k,A4,0.8,8,1,7,0,0.125,1
6g1k,A4,0.85,9,1,8,0,0.111,1
6g1k,A4,0.9,10,1,9,0,0.100,1
6g1k,A4,0.95,10,1,9,0,0.100,1
6g1k,A4,1,10,1,9,0,0.100,1
6g1k,A4,1.05,10,1,9,0,0.100,1
6g1k,A4,1.1,11,1,10,0,0.091,1
6g1k,A4,1.15,11,1,10,0,0.091,1
6g1k,A4,1.2,11,1,10,0,0.091,1
6g1k,A4,1.25,11,1,10,0,0.091,1
6g1k,A4,1.3,12,1,11,0,0.083,1
6g1k,A4,1.35,12,1,11,0,0.083,1
6g1k,A4,1.4,12,1,11,0,0.083,1
6g1k,A4,1.45,12,1,11,0,0.083,1
6g1k,A4,1.5,13,1,12,0,0.077,1
6g1k,A4,1.55,13,1,12,0,0.077,1
6g1k,A4,1.6,13,1,12,0,0.077,1
6g1k,A4,1.65,13,1,12,0,0.077,1
6g1k,A4,1.7,14,1,13,0,0.071,1
6g1k,A4,1.75,14,1,13,0,0.071,1
6g1k,A4,1.8,14,1,13,0,0.071,1
6g1k,A4,1.85,15,1,14,0,0.067,1
6g1k,A4,1.9,15,1,14,0,0.067,1
6g1k,A4,1.95,15,1,14,0,0.067,1
6oo3,A4,0.05,0,0,0,1,#DIV/0!,0
6oo3,A4,0.1,0,0,0,1,#DIV/0!,0
6oo3,A4,0.15,1,1,0,0,1.000,1
6oo3,A4,0.2,2,1,1,0,0.500,1
6oo3,A4,0.25,2,1,1,0,0.500,1
6oo3,A4,0.3,2,1,1,0,0.500,1
6oo3,A4,0.35,2,1,1,0,0.500,1
6oo3,A4,0.4,3,1,2,0,0.333,1
6oo3,A4,0.45,4,1,3,0,0.250,1
6oo3,A4,0.5,4,1,3,0,0.250,1
6oo3,A4,0.55,4,1,3,0,0.250,1
6oo3,A4,0.6,4,1,3,0,0.250,1
6oo3,A4,0.65,4,1,3,0,0.250,1
6oo3,A4,0.7,5,1,4,0,0.200,1
6oo3,A4,0.75,6,1,5,0,0.167,1
6oo3,A4,0.8,6,1,5,0,0.167,1
6oo3,A4,0.85,6,1,5,0,0.167,1
6oo3,A4,0.9,6,1,5,0,0.167,1
6oo3,A4,0.95,7,1,6,0,0.143,1
6oo3,A4,1,7,1,6,0,0.143,1
6oo3,A4,1.05,7,1,6,0,0.143,1
6oo3,A4,1.1,7,1,6,0,0.143,1
6oo3,A4,1.15,7,1,6,0,0.143,1
6oo3,A4,1.2,7,1,6,0,0.143,1
6oo3,A4,1.25,8,1,7,0,0.125,1
6oo3,A4,1.3,8,1,7,0,0.125,1
6oo3,A4,1.35,8,1,7,0,0.125,1
6oo3,A4,1.4,8,1,7,0,0.125,1
6oo3,A4,1.45,8,1,7,0,0.125,1
6oo3,A4,1.5,9,1,8,0,0.111,1
6oo3,A4,1.55,9,1,8,0,0.111,1
6oo3,A4,1.6,9,1,8,0,0.111,1
6oo3,A4,1.65,9,1,8,0,0.111,1
6oo3,A4,1.7,9,1,8,0,0.111,1
6oo3,A4,1.75,9,1,8,0,0.111,1
6oo3,A4,1.8,10,1,9,0,0.100,1
